date,theta,kappa,sigma,rho,v0
2013-01-02,0.03185713648845797,4.984160457012078,0.9994224668528267,-0.7845049698220116,0.03608390418195732
2013-01-03,0.0271748367644981,4.064594980561205,0.6890086483136023,-0.586177354398586,0.01516564274782373
2013-01-04,0.026217575552227982,5.679676837909116,0.8973079383181296,-0.5593699436281618,0.01456839222573772
2013-01-07,0.02882892382230605,1.1819913319954503,0.14690365539807923,-0.9984112414407732,0.014447036592695911
2013-01-08,0.027841468674295485,1.2482136037916811,0.06494854455813497,0.9929237981707835,0.01000001
2013-01-09,0.026955461774353658,2.5255137711674918,0.29217644657885383,-0.6424456043176593,0.011174784210973608
2013-01-10,0.024888345444135304,7.192027838429935,0.997870614706939,-0.48876516320330776,0.010316664826191216
2013-01-11,0.026218547367841412,3.412622052719993,0.5197188818085683,-0.47967359453621866,0.011767280363835153
2013-01-14,0.026314099765175403,2.88804793686559,0.4407065286970238,-0.48324904368135263,0.013211694577497995
2013-01-15,0.02638783468274602,1.864693217446161,0.17463059491959948,-0.994895781075195,0.013306123106728596
2013-01-16,0.02524684708023217,2.0256929810630253,0.16608929446330148,-0.9983029577973648,0.012272850698921981
2013-01-17,0.027351113243918226,5.223402337682917,0.9974408975443402,-0.6024328843130795,0.014898503718516419
2013-01-18,0.025638720464955606,4.682315046602556,0.8491190154565262,-0.5147078233852581,0.012637274308332521
2013-01-22,0.027450886175653572,1.4302104999098035,0.2104895154522475,-0.7525474822671079,0.010673615624257726
2013-01-23,0.028401137581329866,0.7718745802733575,0.10839161758663118,-0.9888824429939094,0.01000001
2013-01-24,0.024287773533093592,1.3979162158502747,0.24100894309757848,-0.6550184602826401,0.010170866664134522
2013-01-25,0.025625225697520074,1.0778111307102987,0.18096233907148532,-0.764197731720908,0.010366165477586141
2013-01-28,0.02423747944133135,1.1284189988961821,0.17431331628198954,-0.7679247535798629,0.010682063974285599
2013-01-29,0.02304874311301414,1.2005922366267907,0.1424704217571343,-0.8607540951871324,0.010610064993669826
2013-01-30,0.023783444664804018,0.933068405162643,0.11131963899887719,-0.9552568806923779,0.01000001
2013-01-31,0.02213824358761468,1.6344781869600067,0.22298464916439714,-0.7197176004087602,0.011352301141418818
2013-02-01,0.02091955783600068,4.741241798828671,0.6890203663816447,-0.5570395272155657,0.01131441633496243
2013-02-04,0.0228738930395365,1.1157882023507812,0.10688430466912456,-0.9941524240737826,0.01000001
2013-02-05,0.020997742311225368,6.728416982845465,0.9100036062871134,-0.6002581658150058,0.014687977483828687
2013-02-06,0.02167444491497329,1.60951781818962,0.1353716995683203,-0.9739210321165742,0.01000628706010725
2013-02-07,0.022702639370529614,1.4449375619825326,0.1701877594651759,-0.8528531401932741,0.011542773681367594
2013-02-08,0.022125100701537385,1.5803408646788015,0.14369955756236164,-0.9759668900043308,0.010244412638991953
2013-02-11,0.02188183992822332,1.47368749835341,0.140494134975928,-0.9919503717086305,0.01080989260524011
2013-02-12,0.02195301995462475,1.4848649844666821,0.13542240230870448,-0.9918062389602309,0.0100721098862754
2013-02-13,0.022480785564424555,1.3782303394142699,0.14197860324735392,-0.9905349564647182,0.01000001
2013-02-15,0.024511264768132146,0.8697880692215485,0.09732342729790604,-0.9811664762634662,0.01000001
2013-02-19,0.025025033164082403,0.9079734636331546,0.10561250786556059,-0.9872517702830227,0.01000001
2013-02-20,0.025697714641126992,0.9759354749219451,0.17243121042365622,-0.7969557278983953,0.01000001
2013-02-21,0.02597448408464216,0.7900168275009919,0.09089188743166751,-0.970675822223805,0.011762594653756947
2013-02-22,0.020570830566161102,7.3250140694619965,0.9993855635335105,-0.6501165769300535,0.018946405009463756
2013-02-25,0.018732868474863495,9.131918239358264,0.988090139269179,-0.6920427710403727,0.016756235215514698
2013-02-26,0.021503620204057394,8.889715018879818,0.9988717530191346,-0.7848445265749268,0.03402047715057529
2013-02-27,0.022103380146007465,7.598732262606805,0.9959211060070237,-0.6629857463670937,0.02396117446177099
2013-02-28,0.019759252179844797,9.170853318699812,0.974526400762438,-0.6978306151011023,0.018445600498907182
2013-03-01,0.022252664451924968,2.6835101310561797,0.32203207243925663,-0.7578921343776763,0.013790299962998754
2013-03-04,0.02188727606380992,4.3890473462485655,0.5318669805407871,-0.692991747603773,0.01479020673982257
2013-03-05,0.021661039168908512,6.7303409588712695,0.9909346341909843,-0.659952210078725,0.012128387904727178
2013-03-06,0.022439930366857222,5.670924445301239,1.0,-0.6215952913584485,0.011619222439885897
2013-03-07,0.023302634452011736,4.743695691493423,0.9033529522859087,-0.607088837200241,0.012949059093074615
2013-03-08,0.021437481860738513,5.636047701959239,0.9364875510329178,-0.596453243920979,0.011780843130302305
2013-03-11,0.02206049841900682,4.285107382472312,0.728077609022915,-0.563611619343596,0.01103552889376898
2013-03-12,0.03476986094641186,0.2963377805462417,0.013168450933618825,-0.14547265652973174,0.01000001
2013-03-13,0.02122583785864555,5.3981488045913215,0.9920846815458918,-0.5373032489908055,0.01343497060446377
2013-03-14,0.020322077269207255,6.342605864953302,0.9910221074285847,-0.5653336901042245,0.010829591058029775
2013-03-15,0.0245001755254518,0.7653100598651181,0.11189128373801452,-0.9912198258282323,0.01000001
2013-03-18,0.024180446746756665,0.9530630773602491,0.10857819004062927,-0.9887896828375092,0.010000061900435193
2013-03-19,0.020540538188098277,4.892027945706556,0.689364081886073,-0.5801229414519129,0.011227540852380837
2013-03-21,0.022906018222968755,1.9231593968035745,0.26785085794056285,-0.7363434784953445,0.010870367681258009
